,murderandn,robbery,aggravated,burglary,larcenythe,motorvehic,arson,otherassau,forgeryand,fraud,embezzleme,stolenprop,vandalism,weaponscar,prostituti,sexoffense,drugabusev,gambling,offensesag,drivingund,liquorlaws,drunkennes,disorderly,allotherof,population,year,state,decrim,medical,recreational,st
68,111,1193,1577,4512,11328,1625,72,16928,641,2475,489,1733,1600,1884,4176,1454,10120,37,1074.0,8138.0,8292,356.0,3460.0,54913,1955639.0,2000,NEVADA,0,0,0,NV
69,4,97,243,296,1566,129,31,4247,79,670,16,295,725,144,3,120,2943,6,124.0,3857.0,2949,3838.0,773.0,6806,733147.0,2000,NEWHAMPSHIRE,0,0,0,NH
70,231,4083,10622,6381,30007,1401,434,32062,1436,5521,101,7029,7871,5048,1956,1935,55527,462,16362.0,24562.0,10388,0.0,26331.0,110460,8161746.0,2000,NEWJERSEY,0,0,0,NJ
71,82,438,2176,1050,5035,247,54,5793,231,305,150,849,559,554,528,60,4431,0,661.0,8952.0,3266,497.0,1562.0,35446,1147490.0,2000,NEWMEXICO,0,0,0,NM
72,221,2655,8150,5827,28259,2539,362,31555,3472,10679,207,4728,11020,2887,1415,3552,35679,201,2939.0,30993.0,5618,0.0,12929.0,62856,6579661.0,2000,NEWYORK,0,0,0,NY
73,621,3413,16255,12298,35316,2288,448,54035,3992,35361,2642,6501,8966,5547,1053,1910,34110,710,5789.0,28855.0,22236,0.0,16291.0,118689,6394723.0,2000,NORTHCAROLINA,0,0,0,NC
74,1,9,109,285,2233,223,21,1515,135,1919,1,93,649,106,0,80,1236,0,239.0,3255.0,5513,291.0,1494.0,4856,569318.0,2000,NORTHDAKOTA,0,0,0,ND
75,193,2276,7200,5304,25315,1794,400,24988,2045,4665,122,4515,4188,3061,2243,1723,21904,93,15729.0,21871.0,16922,9187.0,14744.0,81441,5902410.0,2000,OHIO,0,0,0,OH
76,182,681,4731,2750,12282,1614,277,9767,1016,3170,723,1699,1295,2515,284,893,21952,13,1347.0,21925.0,3688,25475.0,3136.0,42807,3450654.0,2000,OKLAHOMA,0,0,0,OK
77,102,1029,1927,2891,19946,2284,292,15009,2606,1388,81,473,4232,1735,816,1322,16381,17,578.0,14549.0,15736,0.0,5879.0,22467,2785807.0,2000,OREGON,1,1,0,OR
78,465,6209,15445,8805,33289,5783,782,38022,3139,9287,248,3119,13182,3362,2136,2868,42658,386,754.0,32978.0,22836,16053.0,48597.0,41838,9150599.0,2000,PENNSYLVANIA,0,0,0,PA
79,17,209,708,657,2786,372,73,5142,145,819,122,268,1331,357,382,118,3988,50,488.0,1629.0,875,126.0,2042.0,9500,999347.0,2000,RHODEISLAND,0,0,0,RI
80,72,385,2457,1227,5403,309,53,7569,750,7667,135,578,1045,613,357,219,7884,147,1502.0,7789.0,5428,2582.0,3567.0,12851,1117292.0,2000,SOUTHCAROLINA,0,0,0,SC
81,10,39,452,522,2922,181,25,2605,134,796,39,130,653,123,13,216,2608,1,323.0,4221.0,10311,493.0,1810.0,6321,596626.0,2000,SOUTHDAKOTA,0,0,0,SD
82,159,898,6907,2918,15166,1259,195,19110,1859,9456,202,223,2519,1870,331,384,17828,100,569.0,18628.0,5062,18621.0,5210.0,37496,3922509.0,2000,TENNESSEE,0,0,0,TN
83,774,6073,21584,16947,85555,8893,773,96490,8000,14464,581,626,12414,10448,6308,4887,104246,338,4993.0,95454.0,29743,149705.0,36052.0,286894,19991434.0,2000,TEXAS,0,0,0,TX
